GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
02/20/2018,4320,4.2689814814814815
02/21/2016,3653,4.134683821516561
02/21/2017,3628,4.278114663726571
02/21/2018,4325,4.227745664739884
02/22/2016,4110,4.184671532846715
02/22/2017,3626,4.264202978488693
02/22/2018,4031,4.304887124782932
02/23/2016,3861,4.2994042994043
02/23/2017,3695,4.264952638700947
02/23/2018,3885,4.234491634491635
02/24/2016,3999,4.2448112028007
02/24/2017,4064,4.262795275590551
02/24/2018,3806,4.214135575407251
02/25/2016,3982,4.2262682069311905
02/25/2017,3794,4.2374802319451765
02/25/2018,3514,4.240751280591918
02/26/2016,4079,4.231429271880363
02/26/2017,3376,4.236078199052133
02/26/2018,4156,4.276948989412897
02/27/2016,3776,4.17770127118644
02/27/2017,3849,4.310730059755781
02/27/2018,3944,4.282707910750507
02/28/2016,3649,4.08687311592217
02/28/2017,3774,4.3052464228934815
02/28/2018,4064,4.264763779527559
02/29/2016,4177,4.146756045008379
03/01/2016,4026,4.236214605067064
03/01/2017,3961,4.296389800555415
03/01/2018,4156,4.288017324350337
03/02/2016,3913,4.221058011755686
03/02/2017,3828,4.295715778474399
03/02/2018,3956,4.265166835187058
03/03/2016,3970,4.214609571788413
03/03/2017,3858,4.255572835666149
03/03/2018,3720,4.256989247311828
03/04/2016,4069,4.274268862128287
03/04/2017,3523,4.221969912006813
03/04/2018,3708,4.165857605177994
03/05/2016,3876,4.121517027863777
03/05/2017,3361,4.239214519488248
03/05/2018,3984,4.296686746987952
03/06/2016,3749,4.173646305681515
03/06/2017,3860,4.308031088082902
03/06/2018,4092,4.282258064516129
03/07/2016,4353,4.204226969905812
03/07/2017,3801,4.304393580636675
03/07/2018,3577,4.378529493989377
03/08/2016,4281,4.154870357393133
03/08/2017,3805,4.279369250985545
03/08/2018,4116,4.320213799805637
03/09/2016,4395,4.223435722411832
03/09/2017,3946,4.272934617334009
03/09/2018,4174,4.285098227120268
03/10/2016,4450,4.2202247191011235
03/10/2017,3669,4.316980103570455
03/10/2018,3821,4.263805286574195
03/11/2016,4428,4.2985546522131886
03/11/2017,3423,4.231083844580777
03/11/2018,3549,4.228233305156382
03/12/2016,3997,4.176132099074306
03/12/2017,3288,4.179136253041363
03/12/2018,4135,4.289721886336155
03/13/2016,3666,4.0793780687397705
03/13/2017,4036,4.260901883052528
03/13/2018,3796,4.368018967334036
03/14/2016,4083,4.21356845456772
03/14/2017,3180,4.318867924528302
03/14/2018,4031,4.2473331679484
03/15/2016,4182,4.253228120516499
03/15/2017,4224,4.405776515151516
03/15/2018,4063,4.333743539256707
03/16/2016,4001,4.2279430142464385
03/16/2017,4247,4.35530963032729
03/16/2018,4085,4.286658506731946
03/17/2016,4277,4.245265372924948
03/17/2017,4406,4.292328642759873
03/17/2018,3883,4.231006953386557
03/18/2016,4055,4.230826140567201
03/18/2017,3813,4.2145292420666145
03/18/2018,3650,4.2
03/19/2016,3605,4.169209431345354
03/19/2017,3700,4.233243243243243
03/19/2018,4183,4.2854410710016735
03/20/2016,3408,4.220950704225352
03/20/2017,4159,4.2433277230103394
03/20/2018,3974,4.296930045294413
03/21/2016,3896,4.270277207392197
03/21/2017,3991,4.335003758456527
03/21/2018,3312,4.358695652173913
03/22/2016,3802,4.2498684902682795
03/22/2017,3840,4.301822916666667
03/22/2018,4064,4.339812992125984
03/23/2016,4053,4.248951394029114
03/23/2017,3863,4.361636034170334
03/23/2018,4347,4.293305728088336
03/24/2016,3981,4.276061291132881
03/24/2017,3947,4.305548517861667
03/24/2018,3925,4.251210191082802
03/25/2016,3850,4.179220779220779
03/25/2017,3764,4.241498405951116
03/25/2018,3749,4.282475326753801
03/26/2016,3569,4.176520033622864
03/26/2017,3485,4.230416068866571
03/26/2018,4173,4.304337407141145
03/27/2016,3418,4.195435927442949
03/27/2017,4085,4.262913096695226
03/27/2018,4078,4.354830799411476
03/28/2016,3874,4.280588538977801
03/28/2017,3713,4.328575276057097
03/28/2018,4084,4.381488736532811
03/29/2016,3728,4.247049356223176
03/29/2017,3878,4.2872614749871065
03/29/2018,4079,4.322137778867369
03/30/2016,3982,4.215720743345052
03/30/2017,3919,4.295993875988772
03/30/2018,3985,4.288080301129234
03/31/2016,4027,4.250558728582071
03/31/2017,3770,4.312732095490716
03/31/2018,3936,4.157774390243903
04/01/2016,4346,4.206166589967786
04/01/2017,3613,4.259341267644617
04/01/2018,3677,4.138700027196084
04/02/2016,3897,4.204003079291763
04/02/2017,3841,4.173392345743296
04/02/2018,3757,4.288794250731967
04/03/2016,3501,4.163096258211939
04/03/2017,4269,4.181307097680956
04/03/2018,3910,4.309462915601023
04/04/2016,3965,4.189407313997478
04/04/2017,4000,4.31
04/04/2018,3960,4.268686868686869
04/05/2016,3877,4.237554810420428
04/05/2017,4175,4.237844311377246
04/05/2018,3957,4.282537275713925
04/06/2016,3895,4.275224646983312
04/06/2017,3946,4.301064368981247
04/06/2018,3951,4.253353581371805
04/07/2016,3948,4.23758865248227
04/07/2017,4173,4.291876347951114
04/07/2018,3901,4.208664445014099
04/08/2016,3922,4.291687914329424
04/08/2017,3709,4.215691561067673
04/08/2018,3595,4.176912378303199
04/09/2016,3482,4.169155657668007
04/09/2017,3755,4.139547270306259
04/09/2018,3946,4.272427774961987
04/10/2016,3582,4.150474595198213
04/10/2017,4048,4.242835968379446
04/10/2018,3961,4.281747033577379
04/11/2016,4069,4.24404030474318
04/11/2017,3965,4.322320302648172
04/11/2018,3917,4.289762573398009
04/12/2016,3824,4.296025104602511
04/12/2017,3831,4.269903419472723
04/12/2018,4111,4.310386767209924
04/13/2016,4038,4.2865279841505695
04/13/2017,3793,4.251252306881097
04/13/2018,4539,4.242344128662701
04/14/2016,3898,4.332478193945613
04/14/2017,3781,4.289870404654853
04/14/2018,4431,4.247799593771158
04/15/2016,3950,4.22379746835443
04/15/2017,3726,4.212023617820719
04/15/2018,3667,4.244068721025362
04/16/2016,3886,4.167524446731858
04/16/2017,4021,4.247948271574235
04/16/2018,4097,4.265560165975104
04/17/2016,3876,4.148090815273478
04/17/2017,3962,4.307420494699647
04/17/2018,3988,4.301654964894684
04/18/2016,4150,4.263614457831325
04/18/2017,3796,4.350632244467861
04/18/2018,4140,4.28743961352657
04/19/2016,4122,4.244056283357593
04/19/2017,3835,4.342372881355932
04/19/2018,4029,4.311243484735666
04/20/2016,4028,4.313306852035749
04/20/2017,4105,4.335931790499391
04/20/2018,4063,4.331282303716466
04/21/2016,4172,4.228427612655801
04/21/2017,4005,4.349063670411985
04/21/2018,4055,4.186683107274969
04/22/2016,4218,4.255334281650071
04/22/2017,3812,4.246327387198321
04/22/2018,3950,4.22379746835443
04/23/2016,3908,4.229529170931423
04/23/2017,3788,4.24234424498416
04/23/2018,4345,4.304948216340621
04/24/2016,3550,4.197464788732394
04/24/2017,4108,4.262171372930867
04/24/2018,4254,4.32698636577339
04/25/2016,4054,4.21238283177109
04/25/2017,3960,4.2727272727272725
04/25/2018,3974,4.349773527931555
04/26/2016,3596,4.2316462736373746
04/26/2017,3915,4.289655172413793
04/26/2018,4307,4.271650801021592
04/27/2016,3742,4.254142169962587
04/27/2017,4115,4.377885783718105
04/27/2018,4141,4.332045399661918
04/28/2016,3529,4.256446585434968
04/28/2017,4350,4.290344827586207
04/28/2018,4080,4.247303921568627
04/29/2016,3609,4.16043225270158
04/29/2017,4360,4.215137614678899
04/29/2018,3810,4.202887139107611
04/30/2016,3859,4.1103912930811095
04/30/2017,3678,4.330342577487765
04/30/2018,4082,4.245222929936306
05/01/2016,3353,4.206084103787653
05/01/2017,4346,4.294523699953981
05/01/2018,4273,4.229815118183946
05/02/2016,3833,4.233759457344117
05/02/2017,4409,4.228623270582899
05/02/2018,4705,4.251434643995749
05/03/2016,3913,4.2317914643496035
05/03/2017,4114,4.245503159941663
05/03/2018,4887,4.239615305913649
05/04/2016,3964,4.270433905146317
05/04/2017,4205,4.285374554102259
05/04/2018,4868,4.330936729663106
05/05/2016,3787,4.26089252706628
05/05/2017,4046,4.248887790410282
05/05/2018,4402,4.217855520218083
05/06/2016,3936,4.223577235772358
05/06/2017,4031,4.220044653932026
05/06/2018,4203,4.282179395669759
05/07/2016,3690,4.195392953929539
05/07/2017,3758,4.290580095795636
05/07/2018,4594,4.329560296038311
05/08/2016,3642,4.176276771004942
05/08/2017,4225,4.257514792899408
05/08/2018,4397,4.2917898567204915
05/09/2016,4176,4.248802681992337
05/09/2017,4050,4.320493827160494
05/09/2018,4321,4.327933348761861
05/10/2016,3973,4.238862320664485
05/10/2017,4094,4.29628724963361
05/10/2018,4286,4.292580494633691
05/11/2016,4268,4.17174320524836
05/11/2017,4081,4.313893653516295
05/11/2018,4597,4.233413095497063
05/12/2016,4178,4.258736237434179
05/12/2017,4278,4.2833099579242635
05/12/2018,3934,4.210472801220132
05/13/2016,3941,4.2793707180918545
05/13/2017,3559,4.241640910368081
05/13/2018,3746,4.210357714895889
05/14/2016,3782,4.14304600740349
05/14/2017,3675,4.220408163265306
05/14/2018,4218,4.2368421052631575
05/15/2016,3569,4.201176800224152
05/15/2017,4364,4.275664527956003
05/15/2018,4533,4.313037723362012
05/16/2016,4077,4.295805739514349
05/16/2017,4120,4.282281553398058
05/16/2018,4197,4.409340004765308
05/17/2016,3927,4.297937356760886
05/17/2017,4529,4.276219916096268
05/17/2018,4393,4.308672888686547
05/18/2016,3920,4.281122448979592
05/18/2017,4836,4.2487593052109185
05/18/2018,4343,4.331568040524982
05/19/2016,3942,4.269660071029934
05/19/2017,4975,4.300904522613065
05/19/2018,3919,4.2171472314365905
05/20/2016,4227,4.248639697184765
05/20/2017,4095,4.327472527472527
05/20/2018,4470,4.191275167785235
05/21/2016,3782,4.185880486515072
05/21/2017,3972,4.2497482376636455
05/21/2018,4627,4.299762264966501
05/22/2016,3610,4.130470914127423
05/22/2017,4123,4.30657288382246
05/22/2018,4217,4.276499881432298
05/23/2016,4129,4.203196899975781
05/23/2017,4091,4.362747494500122
05/23/2018,4589,4.284375680976248
05/24/2016,3983,4.201104694953552
05/24/2017,4190,4.310023866348448
05/24/2018,4534,4.32399647110719
05/25/2016,4268,4.262652296157451
05/25/2017,4037,4.313351498637602
05/25/2018,4797,4.28872211799041
05/26/2016,4309,4.2443722441401714
05/26/2017,4253,4.232776863390548
05/26/2018,4643,4.175748438509585
05/27/2016,4354,4.204180064308682
05/27/2017,3888,4.221707818930041
05/27/2018,3853,4.315079159096808
05/28/2016,4202,4.168015230842456
05/28/2017,3721,4.248857833915614
05/28/2018,3716,4.32508073196986
05/29/2016,4049,4.1931341071869594
05/29/2017,3484,4.285591274397245
05/29/2018,4799,4.258803917482809
05/30/2016,3661,4.1652553947009014
05/30/2017,4023,4.34277902063137
05/30/2018,4218,4.325983878615458
05/31/2016,4338,4.2139234670355
05/31/2017,4156,4.311838306063523
05/31/2018,4013,4.330426115125841
06/01/2016,4170,4.253717026378897
06/01/2017,4257,4.254169603006813
06/01/2018,4590,4.3010893246187365
06/02/2016,4073,4.224895654308863
06/02/2017,4282,4.2265296590378325
06/02/2018,4667,4.246196700235697
06/03/2016,3989,4.283529706693407
06/03/2017,4162,4.228495915425277
06/03/2018,3915,4.2786717752235
06/04/2016,3970,4.207304785894206
06/04/2017,3855,4.26822308690013
06/04/2018,4320,4.311342592592593
06/05/2016,3585,4.194142259414226
06/05/2017,4271,4.3275579489580895
06/05/2018,4280,4.285514018691589
06/06/2016,4309,4.198653980041773
06/06/2017,3898,4.3383786557208825
06/06/2018,4208,4.339591254752852
06/07/2016,4116,4.2592322643343055
06/07/2017,4030,4.290818858560794
06/07/2018,4197,4.328568024779605
06/08/2016,3862,4.277058518902123
06/08/2017,3913,4.263991822131357
06/08/2018,4607,4.318428478402431
06/09/2016,3832,4.203288100208768
06/09/2017,4356,4.266299357208448
06/09/2018,4478,4.227333631085306
06/10/2016,4279,4.2470203318532365
06/10/2017,4452,4.1610512129380055
06/10/2018,4083,4.315454322801862
06/11/2016,4241,4.161518509785428
06/11/2017,4362,4.133654287024301
06/11/2018,4331,4.355114292311245
06/12/2016,4062,4.220088626292466
06/12/2017,4544,4.246919014084507
06/12/2018,4287,4.300209937018894
06/13/2016,4051,4.3206615650456675
06/13/2017,4671,4.310640119888675
06/13/2018,4281,4.368839056295258
06/14/2016,3919,4.301862720081654
06/14/2017,4528,4.286219081272085
06/14/2018,4433,4.267538912700203
06/15/2016,4088,4.274706457925636
06/15/2017,4257,4.3232323232323235
06/15/2018,4500,4.363111111111111
06/16/2016,3986,4.267686904164576
06/16/2017,4106,4.372138334145154
06/16/2018,4615,4.2314192849404115
06/17/2016,4086,4.2594224180127265
06/17/2017,3898,4.229348383786557
06/17/2018,4495,4.238042269187987
06/18/2016,4127,4.15919554155561
06/18/2017,4032,4.220982142857143
06/18/2018,4974,4.266988339364697
06/19/2016,3855,4.169649805447471
06/19/2017,4465,4.28040313549832
06/19/2018,4636,4.312338222605694
06/20/2016,4236,4.23371104815864
06/20/2017,4142,4.320376629647513
06/20/2018,4570,4.3330415754923415
06/21/2016,4117,4.234879766820501
06/21/2017,4274,4.302058961160506
06/21/2018,4534,4.36193206881341
06/22/2016,4135,4.27738814993954
06/22/2017,4385,4.250627137970353
06/22/2018,4442,4.417154434939216
06/23/2016,4087,4.242720822118914
06/23/2017,4458,4.288245850157021
06/23/2018,4036,4.282953419226957
06/24/2016,4292,4.179403541472507
06/24/2017,4215,4.2673784104389085
06/24/2018,4418,4.216613852421911
06/25/2016,3965,4.249432534678436
06/25/2017,4353,4.246266942338617
06/25/2018,4521,4.314532183145322
06/26/2016,3904,4.209016393442623
06/26/2017,4211,4.325575872714319
06/26/2018,4256,4.3031015037593985
06/27/2016,4339,4.271952062687255
06/27/2017,4306,4.258012076172782
06/27/2018,4029,4.359890791759742
06/28/2016,3857,4.285455016852476
06/28/2017,4158,4.311688311688312
06/28/2018,4330,4.304849884526559
06/29/2016,4110,4.300729927007299
06/29/2017,4035,4.295662949194548
06/29/2018,4610,4.2841648590021695
06/30/2016,4121,4.2266440184421255
06/30/2017,4284,4.294117647058823
06/30/2018,4775,4.214240837696335
07/01/2016,4009,4.253429782988277
07/01/2017,4184,4.217256214149139
07/01/2018,4545,4.258085808580858
07/02/2016,3882,4.134981968057702
07/02/2017,4036,4.190535183349851
07/02/2018,4702,4.3368779242875375
07/03/2016,3876,4.208978328173375
07/03/2017,4115,4.30498177399757
07/03/2018,4502,4.257441137272323
07/04/2016,3800,4.159736842105263
07/04/2017,3923,4.330359418812134
07/04/2018,4381,4.295594613102032
07/05/2016,4295,4.221420256111758
07/05/2017,4399,4.360763809956809
07/05/2018,4981,4.304155792009636
07/06/2016,4172,4.24209012464046
07/06/2017,3967,4.338290899924376
07/06/2018,4298,4.286179618427175
07/07/2016,4363,4.283978913591565
07/07/2017,4109,4.3560477001703575
07/07/2018,3936,4.292936991869919
07/08/2016,4101,4.318702755425506
07/08/2017,3988,4.238716148445336
07/08/2018,3888,4.325102880658436
07/09/2016,3693,4.184944489574871
07/09/2017,3856,4.256742738589212
07/09/2018,4184,4.316443594646271
07/10/2016,3864,4.268115942028985
07/10/2017,4363,4.271372908549163
07/10/2018,4451,4.299033924960683
07/11/2016,4081,4.219554030874786
07/11/2017,4153,4.301468817722129
07/11/2018,4429,4.279295552043351
07/12/2016,4109,4.23704064249209
07/12/2017,4264,4.293621013133208
07/12/2018,4298,4.317124243834342
07/13/2016,4048,4.212203557312253
07/13/2017,4344,4.292357274401473
07/13/2018,4360,4.31651376146789
07/14/2016,4143,4.24112961622013
07/14/2017,3685,4.3807327001356855
07/14/2018,4472,4.244633273703041
07/15/2016,4312,4.215909090909091
07/15/2017,4095,4.281807081807082
07/15/2018,4087,4.346464399314901
07/16/2016,4075,4.196564417177914
07/16/2017,4102,4.226962457337884
07/16/2018,4564,4.338737949167397
07/17/2016,4077,4.189845474613686
07/17/2017,4305,4.267595818815331
07/17/2018,4441,4.36095473992344
07/18/2016,4383,4.253251197809719
07/18/2017,4218,4.357752489331436
07/18/2018,4441,4.291600990767845
07/19/2016,3958,4.255937342091966
07/19/2017,4189,4.317975650513249
07/19/2018,4254,4.308885754583921
07/20/2016,4003,4.285286035473395
07/20/2017,4340,4.292165898617512
07/20/2018,4293,4.288143489401351
07/21/2016,4061,4.278256587047525
07/21/2017,4470,4.342281879194631
07/21/2018,4230,4.257919621749409
07/22/2016,4208,4.217442965779468
07/22/2017,4331,4.2567536365735394
07/22/2018,3859,4.296708991966831
07/23/2016,4344,4.158379373848987
07/23/2017,3901,4.268649064342476
07/23/2018,4202,4.335316515944788
07/24/2016,4116,4.19533527696793
07/24/2017,3853,4.325201141967298
07/24/2018,4339,4.311592532841669
07/25/2016,4240,4.26816037735849
07/25/2017,3847,4.343124512607226
07/25/2018,4046,4.3388531883341575
07/26/2016,4113,4.236080719669341
07/26/2017,3996,4.311061061061061
07/26/2018,4267,4.255917506444809
07/27/2016,4233,4.22867942357666
07/27/2017,3893,4.333162085795017
07/27/2018,4307,4.274204782911539
07/28/2016,4128,4.203003875968992
07/28/2017,4015,4.273972602739726
07/28/2018,4264,4.219043151969982
07/29/2016,4010,4.269825436408977
07/29/2017,3702,4.334683954619125
07/29/2018,4108,4.2577896786757545
07/30/2016,4053,4.176905995558846
07/30/2017,3841,4.296016662327519
07/30/2018,4353,4.297955433034689
07/31/2016,3770,4.2151193633952255
07/31/2017,4004,4.3441558441558445
07/31/2018,4198,4.2939494997617915
08/01/2016,4000,4.2335
08/01/2017,4245,4.29399293286219
08/01/2018,4216,4.292220113851992
08/02/2016,4101,4.215313338210192
08/02/2017,4068,4.273598820058997
08/02/2018,4476,4.244638069705094
08/03/2016,3941,4.244861710225831
08/03/2017,4193,4.332697352730742
08/03/2018,4453,4.2683584100606335
08/04/2016,3926,4.236372898624555
08/04/2017,4329,4.274890274890275
08/04/2018,4433,4.229190164674035
08/05/2016,3993,4.253693964437766
08/05/2017,3911,4.296855024290463
08/05/2018,4415,4.285164212910532
08/06/2016,4051,4.201431745248087
08/06/2017,3762,4.282030834662414
08/06/2018,4738,4.261502743773744
08/07/2016,3834,4.250130412102243
08/07/2017,3851,4.34770189561153
08/07/2018,4497,4.321547698465643
08/08/2016,4151,4.244519392917369
08/08/2017,3988,4.38665997993982
08/08/2018,4422,4.33355947535052
08/09/2016,3965,4.309709962168979
08/09/2017,4127,4.319360310152653
